Y,X,Type,Hoshlds,GeoUID,AP(Cns),ShapeAr,CMA_UID,Popultn,CSD_UID,Dwllngs,PR_UID,CD_UID,ReginNm,Ar(skm),id
5045020.43395434,302062.026860147,CT,1433,4620021.0000000000,2976,0.4430700000,"24462",2891,"2466023",1676,"24","2466",Montr_al,0.4430700000,
5044615.98120252,301795.467610287,CT,798,4620022.0000000000,1579,0.1709700000,"24462",1550,"2466023",870,"24","2466",Montr_al,0.1709700000,
5044184.66052004,301556.27944511,CT,686,4620023.0000000000,1255,0.3583000000,"24462",1282,"2466023",719,"24","2466",Montr_al,0.3583000000,
5049861.39864467,303691.549803412,CT,1465,4620008.0000000000,2943,0.6229000000,"24462",3016,"2466023",1586,"24","2466",Montr_al,0.6229000000,
5048275.2720795,303144.007818928,CT,1640,4620009.0000000000,3488,4.2697500000,"24462",3470,"2466023",1770,"24","2466",Montr_al,4.2697500000,
5048351.122225,302305.25692,CT,701,4620010.0000000000,1428,0.9211500000,"24462",1479,"2466023",754,"24","2466",Montr_al,0.9211500000,
5049653.72965939,302155.714317217,CT,2826,4620011.0000000000,6280,1.2491100000,"24462",6622,"2466023",2898,"24","2466",Montr_al,1.2491100000,
5040361.27749799,294884.678475537,CT,3128,4620123.0000000000,6368,0.4104400000,"24462",6249,"2466023",3559,"24","2466",Montr_al,0.4104400000,
5046274.38072511,302705.102548885,CT,1174,4620016.0000000000,2514,0.5191100000,"24462",2539,"2466023",1315,"24","2466",Montr_al,0.5191100000,
5046003.73061611,302269.119071137,CT,1187,4620017.0000000000,2050,0.2243600000,"24462",2141,"2466023",1237,"24","2466",Montr_al,0.2243600000,
5045782.08406345,302198.062931506,CT,1136,4620018.0000000000,1977,0.3677600000,"24462",2004,"2466023",1219,"24","2466",Montr_al,0.3677600000,
5042447.44876369,297042.297574888,CT,1136,4620168.0000000000,2716,0.1702100000,"24462",2886,"2466023",1238,"24","2466",Montr_al,0.1702100000,
5038420.83721015,297630.380155315,CT,2715,4620351.0000000000,4921,0.4609700000,"24462",4984,"2466032",3147,"24","2466",Westmount,0.4609700000,
5041951.6120723,295834.15430902,CT,1018,4620366.0000000000,2538,0.3544200000,"24462",2570,"2466023",1068,"24","2466",Montr_al,0.3544200000,
5038399.36911112,295211.043587962,CT,874,4620114.0000000000,2031,0.2832000000,"24462",1989,"2466023",977,"24","2466",Montr_al,0.2832000000,
5039795.99244152,294187.175642847,CT,1575,4620118.0000000000,4453,0.3038000000,"24462",4411,"2466023",1686,"24","2466",Montr_al,0.3038000000,
5038691.55057179,294544.062442339,CT,2143,4620113.0000000000,5464,0.4953200000,"24462",5099,"2466023",2341,"24","2466",Montr_al,0.4953200000,
5042134.4302882,295387.550412962,CT,1722,4620367.0000000000,4433,0.5476900000,"24462",4548,"2466023",1856,"24","2466",Montr_al,0.5476900000,
5039313.7542636,294937.204915273,CT,2981,4620116.0000000000,6816,0.6414300000,"24462",6649,"2466023",3351,"24","2466",Montr_al,0.6414300000,
5040567.57050837,295798.464179019,CT,897,4620126.0000000000,2107,0.7459000000,"24462",2536,"2466023",1116,"24","2466",Montr_al,0.7459000000,
