GeoUID,geometry
4620311.0,POINT (2992.8148452950004 50347.8951090147)
4620285.0,POINT (2883.15727091405 50437.1522496311)
4620286.0,POINT (2891.9246595342997 50432.809750336906)
4620308.0,POINT (2990.07418334816 50352.297488784905)
4620309.0,POINT (2986.68222189998 50352.5166233324)
4620312.0,POINT (2991.70830263107 50343.7898931477)
4620313.0,POINT (2986.50109513803 50341.3483446578)
4620314.0,POINT (2983.6768832766397 50339.791723713504)
4620315.0,POINT (2980.6678645999996 50333.41769575)
4620316.0,POINT (2978.2141186868803 50331.6441798222)
4620320.0,POINT (2974.80631844896 50326.5241519712)
4620321.0,POINT (2971.07697633278 50322.059140976606)
4620402.0,POINT (2916.25582291643 50394.234109266)
4620403.0,POINT (2927.7432201 50413.720842)
4620404.0,POINT (2934.45825324437 50426.1862272698)
4620412.0,POINT (2908.87966553756 50404.40070569391)
4620323.0,POINT (2950.6202631 50309.39837050001)
4620327.0,POINT (2931.55921 50315.909419999996)
4620329.0,POINT (2922.82502571313 50322.0293857501)
4620330.0,POINT (2929.06691439918 50342.17564369721)
4620340.0,POINT (2931.14490671091 50347.9284542928)
4620480.0,POINT (2723.34052594985 50309.5004401165)
4620490.0,POINT (2695.63750183808 50296.62997074491)
4620491.0,POINT (2711.47432836461 50321.0469789852)
4620530.0,POINT (2808.53271713945 50407.027346029405)
4620500.0,POINT (2691.94375433757 50326.1787282882)
4620540.0,POINT (2759.2458949298702 50379.2716350111)
4620523.0,POINT (2792.63695731655 50400.8643383147)
4620420.0,POINT (2901.19910866456 50424.9335588602)
4620451.0,POINT (2815.77061790194 50349.217109830905)
4620430.0,POINT (2867.5818564082 50337.363193250596)
4620452.0,POINT (2791.69707261347 50345.584393715806)
4620431.0,POINT (2851.3288921675303 50337.618950514196)
4620432.0,POINT (2836.71207069632 50339.3505315372)
4620433.0,POINT (2849.25009104143 50362.7202469253)
4620440.0,POINT (2859.18532926964 50325.120357903004)
4620450.0,POINT (2801.63524393332 50332.0465340825)
4620460.0,POINT (2767.80619376492 50320.9225115644)
4620461.0,POINT (2744.0806799093402 50312.8849501385)
4620612.0,POINT (2946.9935432145 50500.722767648105)
4620618.0,POINT (2938.55493103503 50513.4102245651)
4620570.0,POINT (3025.77941985682 50543.799393326604)
4620584.0,POINT (3046.01497287154 50553.4843549982)
4620583.0,POINT (3047.6386944900205 50559.7517595356)
4620613.0,POINT (2940.61577602961 50491.245075832296)
4620614.0,POINT (2933.7644989628798 50494.7758171396)
4620615.0,POINT (2938.06675590592 50500.2977944375)
4620616.0,POINT (2942.2327042763304 50507.509843118496)
4620592.0,POINT (3002.8870763281197 50518.8736945701)
4620511.01,POINT (2823.43905467119 50410.70067622571)
4620511.02,POINT (2836.60251390641 50404.670238873)
4620619.0,POINT (2931.4405076700896 50500.1400026534)
4620100.01,POINT (2940.4955051547704 50365.880688207)
4620593.01,POINT (3001.36907 50511.27699)
4620593.02,POINT (3007.1098872074003 50504.4190473299)
4620325.05,POINT (2958.4004940449 50334.811777462106)
4620325.06,POINT (2962.9850896024905 50327.8591812477)
4620415.05,POINT (2858.8010596270597 50396.0117736166)
4620100.02,POINT (2937.03782303107 50360.3832274803)
4620291.03,POINT (3022.8880133643 50592.6774313672)
4620413.02,POINT (2901.7403850234605 50396.422652836794)
4620187.03,POINT (2999.36061701052 50457.312832565105)
4620291.04,POINT (3010.72018878518 50573.9659347694)
4620413.01,POINT (2897.87382821691 50401.2095666378)
4620187.04,POINT (2996.78647556605 50450.0194010623)
4620603.02,POINT (2970.4147349729096 50485.6639921302)
4620610.01,POINT (2961.77158977752 50522.277414759694)
4620610.02,POINT (2955.11789383026 50523.070041323605)
4620610.04,POINT (2953.47466745098 50533.871506754505)
4620611.01,POINT (2952.6975304185503 50509.0625168677)
4620617.01,POINT (2947.3817668761203 50523.8634747632)
4620617.02,POINT (2943.45942680519 50519.2766454895)
4620012.02,POINT (3018.09481871219 50485.9286396473)
4620097.01,POINT (2953.0067727681 50362.157368717606)
4620097.02,POINT (2943.2961396513197 50354.8045183686)
4620283.01,POINT (2901.08013834163 50437.379937469996)
4620591.02,POINT (3008.98738875973 50515.5260139283)
4620603.01,POINT (2972.7551999452503 50492.611611179804)
4620283.02,POINT (2895.5180775376703 50441.2855598215)
4620590.01,POINT (3011.40497205 50530.265631)
4620590.02,POINT (3008.8871138831896 50523.3859325986)
4620591.01,POINT (3014.02607204832 50514.004875646104)
4620512.02,POINT (2773.89347662514 50405.95961946691)
4620325.02,POINT (2952.52766323365 50320.9049841999)
4620325.03,POINT (2951.89322605 50326.31950400001)
4620326.01,POINT (2953.64663808137 50342.0611307232)
4620326.02,POINT (2935.1489571617103 50326.1906367578)
4620514.01,POINT (2769.5780044747403 50380.944729065595)
4620514.02,POINT (2761.51019328189 50367.8790770222)
4620521.01,POINT (2786.36406809572 50376.9178084033)
4620582.01,POINT (3049.34502383378 50571.291388667305)
4620582.02,POINT (3047.9802852244097 50564.6455316524)
4620600.01,POINT (2992.3261012052403 50501.3150533946)
4620600.02,POINT (2992.6337479667304 50494.2990119222)
4620600.03,POINT (2984.81593857339 50496.2921452206)
4620604.02,POINT (2957.94059175383 50491.173012833504)
4620328.0,POINT (2928.9255341 50325.69074325)
4620605.01,POINT (2982.91536395374 50506.509392566004)
4620605.02,POINT (2971.54949184556 50503.8721733101)
4620322.02,POINT (2958.1708247441297 50311.787111142)
4620325.01,POINT (2943.5013037000003 50319.617056999996)
4620395.01,POINT (2891.5209065898503 50352.5614626483)
4620395.02,POINT (2900.0839037371 50335.655083618396)
